         2965999 function calls (2961950 primitive calls) in 8.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    6.243    0.062    6.370    0.064 SmokeSimulation.py:47(double_density)
      100    1.190    0.012    1.260    0.013 SmokeSimulation.py:31(apply_viscosity)
        1    0.529    0.529    0.529    0.529 {pygame.base.quit}
      100    0.192    0.002    0.192    0.002 {pygame.display.flip}
  2495001    0.132    0.000    0.132    0.000 {math.sqrt}
        1    0.094    0.094    0.094    0.094 {pygame.base.init}
    81819    0.039    0.000    0.039    0.000 {numpy.core.multiarray.dot}
      100    0.038    0.000    0.038    0.000 {method 'fill' of 'pygame.Surface' objects}
        1    0.022    0.022    0.317    0.317 {pygame.display.set_mode}
      100    0.016    0.000    0.022    0.000 SmokeSimulation.py:92(draw)
     2278    0.015    0.000    0.037    0.000 version.py:198(__init__)
    30886    0.014    0.000    0.014    0.000 {range}
  604/104    0.013    0.000    0.039    0.000 sre_parse.py:414(_parse)
    10074    0.013    0.000    0.013    0.000 {numpy.core.multiarray.array}
    14000    0.010    0.000    0.012    0.000 sre_parse.py:194(__next)
       10    0.009    0.001    0.060    0.006 __init__.py:1(<module>)
        1    0.009    0.009    0.012    0.012 __init__.py:25(<module>)
      440    0.008    0.000    0.008    0.000 {posix.listdir}
  1188/99    0.007    0.000    0.018    0.000 sre_compile.py:64(_compile)
     1268    0.007    0.000    0.008    0.000 version.py:343(_cmpkey)
     2278    0.006    0.000    0.006    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    10000    0.005    0.000    0.005    0.000 {method 'blit' of 'pygame.Surface' objects}
       14    0.005    0.000    0.007    0.000 collections.py:305(namedtuple)
      100    0.005    0.000    7.635    0.076 SmokeSimulation.py:22(step)
     2665    0.005    0.000    0.005    0.000 {posix.lstat}
      587    0.005    0.000    0.005    0.000 {imp.find_module}
    12771    0.004    0.000    0.015    0.000 sre_parse.py:213(get)
     4210    0.004    0.000    0.006    0.000 posixpath.py:61(join)
     1050    0.004    0.000    0.004    0.000 {posix.stat}
      609    0.004    0.000    0.017    0.000 posixpath.py:380(_joinrealpath)
     1006    0.004    0.000    0.011    0.000 version.py:131(_legacy_cmpkey)
     4294    0.004    0.000    0.006    0.000 version.py:114(_parse_version_parts)
       70    0.003    0.000    0.004    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 1685/607    0.003    0.000    0.004    0.000 sre_parse.py:152(getwidth)
15052/15051    0.003    0.000    0.004    0.000 {isinstance}
38727/38095    0.003    0.000    0.003    0.000 {len}
      492    0.003    0.000    0.069    0.000 __init__.py:2538(from_location)
      239    0.003    0.000    0.003    0.000 {method 'splitlines' of 'str' objects}
      976    0.003    0.000    0.084    0.000 __init__.py:2108(distributions_from_metadata)
  293/286    0.003    0.000    0.070    0.000 {__import__}
      452    0.003    0.000    0.005    0.000 sre_compile.py:256(_optimize_charset)
     4888    0.003    0.000    0.003    0.000 version.py:207(<genexpr>)
     5095    0.003    0.000    0.004    0.000 sre_parse.py:142(__getitem__)
    13466    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      492    0.003    0.000    0.006    0.000 __init__.py:767(add)
     4972    0.003    0.000    0.004    0.000 version.py:65(_compare)
    23059    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     3018    0.003    0.000    0.004    0.000 __init__.py:2053(dist_factory)
      471    0.003    0.000    0.004    0.000 copy.py:306(_reconstruct)
      614    0.002    0.000    0.004    0.000 posixpath.py:329(normpath)
      488    0.002    0.000    0.032    0.000 __init__.py:2010(_by_version)
       22    0.002    0.000    0.046    0.002 {sorted}
      786    0.002    0.000    0.005    0.000 version.py:236(__str__)
      720    0.002    0.000    0.067    0.000 re.py:230(_compile)
     2665    0.002    0.000    0.008    0.000 posixpath.py:132(islink)
        1    0.002    0.002    0.294    0.294 __init__.py:16(<module>)
     1488    0.002    0.000    0.029    0.000 version.py:24(parse)
    13184    0.002    0.000    0.002    0.000 {method 'group' of '_sre.SRE_Match' objects}
2388/2384    0.002    0.000    0.004    0.000 {method 'join' of 'str' objects}
     1413    0.002    0.000    0.028    0.000 __init__.py:2683(_get_metadata)
        1    0.002    0.002    0.002    0.002 __init__.py:88(<module>)
